location_id,project_id,has_project,has_geometry,status,template,legacy_value,scope_state,scope_municipality,match_level,candidate_name,candidate_id,score,type3_signal,verdict,fragment_verbatim
1,,0,0,need_fix,localidad,Palula,San Luis Potosí,Santo Domingo,sin_match,Las Palomas,208151,50.0,,sin_resolver,Localidad no encontrada: Palula
2,,0,0,need_fix,localidad,Wirikuta,San Luis Potosí,Catorce,sin_match,La Milpita,203581,47.06,,sin_resolver,Localidad no encontrada: Wirikuta
4,,0,0,need_fix,localidad,Wirikuta,San Luis Potosí,Catorce,sin_match,La Milpita,203581,47.06,,sin_resolver,Localidad no encontrada: Wirikuta
5,,0,0,need_fix,localidad,Wirikuta,San Luis Potosí,Catorce,sin_match,La Milpita,203581,47.06,,sin_resolver,Localidad no encontrada: Wirikuta
6,,0,0,need_fix,localidad,Wirikuta,San Luis Potosí,Catorce,sin_match,La Milpita,203581,47.06,,sin_resolver,Localidad no encontrada: Wirikuta
38,,0,0,need_fix,municipio,Cuajimalpa,Ciudad de México,,contenido,Cuajimalpa de Morelos,278,100.0,,llenar,Municipio no encontrado: Cuajimalpa
39,,0,0,need_fix,municipio,Cuajimalpa,Ciudad de México,,contenido,Cuajimalpa de Morelos,278,100.0,,llenar,Municipio no encontrado: Cuajimalpa
68,,0,0,need_fix,localidad,Colonia Roma Sur,Ciudad de México,Cuauhtémoc,sin_match,Cuauhtémoc,84771,25.0,colonia,a_details,Localidad no encontrada: Colonia Roma Sur
69,,0,0,need_fix,localidad,Colonia Roma Sur,Ciudad de México,Cuauhtémoc,sin_match,Cuauhtémoc,84771,25.0,colonia,a_details,Localidad no encontrada: Colonia Roma Sur
71,,0,0,need_fix,localidad,Colonia Roma Sur,Ciudad de México,Cuauhtémoc,sin_match,Cuauhtémoc,84771,25.0,colonia,a_details,Localidad no encontrada: Colonia Roma Sur
72,,0,0,need_fix,localidad,Colonia Roma Sur,Ciudad de México,Cuauhtémoc,sin_match,Cuauhtémoc,84771,25.0,colonia,a_details,Localidad no encontrada: Colonia Roma Sur
74,,0,0,need_fix,localidad,Colonia Roma Sur,Ciudad de México,Cuauhtémoc,sin_match,Cuauhtémoc,84771,25.0,colonia,a_details,Localidad no encontrada: Colonia Roma Sur
78,,0,0,need_fix,localidad,Colonia Roma Sur,Ciudad de México,Cuauhtémoc,sin_match,Cuauhtémoc,84771,25.0,colonia,a_details,Localidad no encontrada: Colonia Roma Sur
79,,0,0,need_fix,localidad,Bajamar,Baja California,Ensenada,contenido,Baja Mar San Diego,3637,100.0,,llenar,Localidad no encontrada: Bajamar
90,,0,0,need_fix,localidad,Los Reyes,Ciudad de México,Coyoacán,sin_match,Coyoacán,84044,25.0,,sin_resolver,Localidad no encontrada: Los Reyes
92,,0,0,need_fix,localidad,Los Reyes,Ciudad de México,Coyoacán,sin_match,Coyoacán,84044,25.0,,sin_resolver,Localidad no encontrada: Los Reyes
95,,0,0,need_fix,localidad,Ejido 5 de Febrero,Campeche,Champotón,sin_match,Cinco de Febrero,16644,75.86,ejido,a_details,Localidad no encontrada: Ejido 5 de Febrero
96,,0,0,need_fix,localidad,Ejido Miguel Colorado,Campeche,Champotón,contenido,Miguel Colorado,16697,100.0,ejido,a_details,Localidad no encontrada: Ejido Miguel Colorado
97,,0,0,need_fix,localidad,Ejido Xbacab,Campeche,Champotón,contenido,Xbacab,16568,100.0,ejido,a_details,Localidad no encontrada: Ejido Xbacab
98,,0,0,need_fix,localidad,Ejido Felipe Carrillo Puerto,Campeche,Champotón,contenido,Carrillo Puerto,16640,100.0,ejido,a_details,Localidad no encontrada: Ejido Felipe Carrillo Puerto
104,798,1,1,filled,localidad,Bosques de las Lomas,Ciudad de México,Miguel Hidalgo,sin_match,Miguel Hidalgo,84772,40.0,,sin_resolver,Localidad no encontrada: Bosques de las Lomas
114,854,1,1,finished,localidad,Lomas de Chapultepec,Ciudad de México,Miguel Hidalgo,sin_match,Miguel Hidalgo,84772,32.26,,sin_resolver,Localidad no encontrada: Lomas de Chapultepec
119,,0,0,need_fix,municipio,Cuajimalpa,Ciudad de México,,contenido,Cuajimalpa de Morelos,278,100.0,,llenar,Municipio no encontrado: Cuajimalpa
119,,0,0,need_fix,localidad,Bosques de las Lomas,Ciudad de México,,sin_ambito,,,0.0,,sin_resolver,Localidad no encontrada: Bosques de las Lomas
125,,0,0,need_fix,localidad,Ejido 5 de Febrero,Campeche,Champotón,sin_match,Cinco de Febrero,16644,75.86,ejido,a_details,Localidad no encontrada: Ejido 5 de Febrero
129,,0,0,need_fix,localidad,Comunidad Bellavista,México,Texcoco,sin_match,Rancho Buenavista,144071,57.14,,sin_resolver,Localidad no encontrada: Comunidad Bellavista
130,,0,0,need_fix,localidad,Comunidad Bellavista,México,Texcoco,sin_match,Rancho Buenavista,144071,57.14,,sin_resolver,Localidad no encontrada: Comunidad Bellavista
131,,0,0,need_fix,localidad,Comunidad Bellavista,México,Texcoco,sin_match,Rancho Buenavista,144071,57.14,,sin_resolver,Localidad no encontrada: Comunidad Bellavista
132,,0,0,need_fix,localidad,Comunidad Bellavista,México,Texcoco,sin_match,Rancho Buenavista,144071,57.14,,sin_resolver,Localidad no encontrada: Comunidad Bellavista
133,,0,0,need_fix,localidad,Comunidad Bellavista,México,Texcoco,sin_match,Rancho Buenavista,144071,57.14,,sin_resolver,Localidad no encontrada: Comunidad Bellavista
136,,0,0,need_fix,localidad,San Cristobal de las Casas,Chiapas,San Cristóbal de las Casas,exacto,San Cristóbal de las Casas,50794,100.0,,llenar,Localidad no encontrada: San Cristobal de las Casas
139,,0,0,need_fix,localidad,San Cristobal de las Casas,Chiapas,San Cristóbal de las Casas,exacto,San Cristóbal de las Casas,50794,100.0,,llenar,Localidad no encontrada: San Cristobal de las Casas
145,,0,0,need_fix,localidad,Santa María y Anexas,Sinaloa,Rosario,sin_match,Presa Santa María,303809,62.5,,sin_resolver,Localidad no encontrada: Santa María y Anexas
148,,0,0,need_fix,localidad,Ejido Pito Real,Nuevo León,Montemorelos,contenido,Pito Real,172281,100.0,ejido,a_details,Localidad no encontrada: Ejido Pito Real
150,,0,0,need_fix,localidad,San Cristobal de las Casas,Chiapas,San Cristóbal de las Casas,exacto,San Cristóbal de las Casas,50794,100.0,,llenar,Localidad no encontrada: San Cristobal de las Casas
191,,0,0,need_fix,localidad,Real de Mayorazgo,Ciudad de México,Benito Juárez,sin_match,Benito Juárez,84770,29.63,,sin_resolver,Localidad no encontrada: Real de Mayorazgo
192,,0,0,need_fix,localidad,Real de Mayorazgo,Ciudad de México,Benito Juárez,sin_match,Benito Juárez,84770,29.63,,sin_resolver,Localidad no encontrada: Real de Mayorazgo
195,,0,0,need_fix,localidad,Bajamar,Baja California,Ensenada,contenido,Baja Mar San Diego,3637,100.0,,llenar,Localidad no encontrada: Bajamar
206,,0,0,need_fix,localidad,Santa María Asunción Tepexoyuca,México,Ocoyoacac,sin_match,San Isidro Tehualtepec,142554,50.0,,sin_resolver,Localidad no encontrada: Santa María Asunción Tepexoyuca
209,,0,0,need_fix,localidad,Santa María Asunción Tepexoyuca,México,Ocoyoacac,sin_match,San Isidro Tehualtepec,142554,50.0,,sin_resolver,Localidad no encontrada: Santa María Asunción Tepexoyuca
215,,0,0,need_fix,localidad,Ciudad de Cuautla,Morelos,Cuautla,contenido,Cuautla,157686,100.0,,llenar,Localidad no encontrada: Ciudad de Cuautla
224,,0,0,need_fix,localidad,Ciudad de Cuautla,Morelos,Cuautla,contenido,Cuautla,157686,100.0,,llenar,Localidad no encontrada: Ciudad de Cuautla
238,,0,0,need_fix,localidad,Pueblo de Xoco,Ciudad de México,Benito Juárez,sin_match,Benito Juárez,84770,25.0,,sin_resolver,Localidad no encontrada: Pueblo de Xoco
239,,0,0,need_fix,localidad,Pueblo Xoco,Ciudad de México,Benito Juárez,sin_match,Benito Juárez,84770,18.18,,sin_resolver,Localidad no encontrada: Pueblo Xoco
