location_id,project_id,parent,status,comment_verbatim,state_proposed,state_id,municipality_proposed,municipality_id,locality_proposed,locality_id,confidence,note
1199,568,impact,need_fix,YEEKO: Estado no encontrado: Ciudad de Méxcio; Municipio no encontrado: Tlalpan; Localidad no encontrada: Parres El Guarda,Ciudad de México,9,Tlalpan,286,Parres (El Guarda),84449,alta,
1715,9,event,need_fix,YEEKO: Estado no encontrado: Quinta Roo; Localidad no encontrada: Playa del Carmen,Quintana Roo,23,Playa del Carmen,1828,Playa del Carmen,201482,media,"Municipio deducido de la localidad (coincidencia exacta), el comentario no traía fragmento de municipio."
1880,1052,event,need_fix,YEEKO: Estado no encontrado: Monterrey; Municipio no encontrado: Nuevo León,Nuevo León,19,Monterrey,1003,,,alta,"Ricardo 2026-08-28: Monterrey = municipio, NL = estado"
1881,1117,impact,need_fix,YEEKO: Estado no encontrado: Monterrey; Municipio no encontrado: Nuevo León,Nuevo León,19,Monterrey,1003,,,alta,"Ricardo 2026-08-28: Monterrey = municipio, NL = estado"
1882,1052,event,need_fix,YEEKO: Estado no encontrado: Monterrey; Municipio no encontrado: Nuevo León; Localidad no encontrada: Montemorelos,Nuevo León,19,Montemorelos,1002,,,alta,Estado y municipio invertidos en el comentario legado (Monterrey<->Nuevo León); localidad Montemorelos confirma el municipio.
1883,1052,event,need_fix,YEEKO: Estado no encontrado: Monterrey; Municipio no encontrado: Nuevo León; Localidad no encontrada: Montemorelos,Nuevo León,19,Montemorelos,1002,,,alta,Estado y municipio invertidos en el comentario legado; localidad Montemorelos confirma el municipio.
2059,159,impact,need_fix,YEEKO: Estado no encontrado: Qunitana Roo,Quintana Roo,23,,,,,alta,
2142,,none,need_fix,YEEKO: Estado no encontrado: Monterrey; Municipio no encontrado: Nuevo León; Localidad no encontrada: Allende,Nuevo León,19,Allende,968,,,alta,Estado y municipio invertidos; localidad Allende confirma el municipio.
2143,,none,need_fix,YEEKO: Estado no encontrado: Monterrey; Municipio no encontrado: Nuevo León; Localidad no encontrada: Montemorelos,Nuevo León,19,Montemorelos,1002,,,alta,Estado y municipio invertidos; localidad Montemorelos confirma el municipio.
2145,1053,event,need_fix,YEEKO: Estado no encontrado: Monterrey; Municipio no encontrado: Nuevo León,Nuevo León,19,Monterrey,1003,,,alta,"Ricardo 2026-08-28: Monterrey = municipio, NL = estado"
