CVEGEO,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_CAB,NOM_CAB,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
"01001","01","Aguascalientes","Ags.","001","Aguascalientes","0001","Aguascalientes","948990","462073","486917","266942"
"01002","01","Aguascalientes","Ags.","002","Asientos","0001","Asientos","51536","25261","26275","12544"
"01003","01","Aguascalientes","Ags.","003","Calvillo","0001","Calvillo","58250","28563","29687","15556"
"01004","01","Aguascalientes","Ags.","004","Cosío","0001","Cosío","17000","8292","8708","3938"
"01005","01","Aguascalientes","Ags.","005","Jesús María","0001","Jesús María","129929","64219","65710","33229"
"01006","01","Aguascalientes","Ags.","006","Pabellón de Arteaga","0001","Pabellón de Arteaga","47646","23377","24269","11470"
"01007","01","Aguascalientes","Ags.","007","Rincón de Romos","0001","Rincón de Romos","57369","28101","29268","13584"
"01008","01","Aguascalientes","Ags.","008","San José de Gracia","0001","San José de Gracia","9552","4532","5020","2381"
"01009","01","Aguascalientes","Ags.","009","Tepezalá","0001","Tepezalá","22485","11114","11371","5425"
"01010","01","Aguascalientes","Ags.","010","El Llano","0001","Palo Alto","20853","10446","10407","5211"
"01011","01","Aguascalientes","Ags.","011","San Francisco de los Romo","0001","San Francisco de los Romo","61997","30705","31292","16391"
"02001","02","Baja California","BC","001","Ensenada","0001","Ensenada","443807","221307","222500","139968"
"02002","02","Baja California","BC","002","Mexicali","0001","Mexicali","1049792","529248","520544","330500"
"02003","02","Baja California","BC","003","Tecate","0001","Tecate","108440","57130","51310","31176"
"02004","02","Baja California","BC","004","Tijuana","0001","Tijuana","1922523","968740","953783","577011"
"02005","02","Baja California","BC","005","Playas de Rosarito","0001","Playas de Rosarito","126890","64386","62504","38135"
"02006","02","Baja California","BC","006","San Quintín","0001","San Quintín","117568","59778","57790","32773"
"02007","02","Baja California","BC","007","San Felipe","0001","San Felipe","-","-","-","-"
"03001","03","Baja California Sur","BCS","001","Comondú","0001","Ciudad Constitución","73021","36804","36217","22242"
"03002","03","Baja California Sur","BCS","002","Mulegé","0001","Santa Rosalía","64022","33071","30951","19436"
"03003","03","Baja California Sur","BCS","003","La Paz","0001","La Paz","292241","145803","146438","91366"
"03008","03","Baja California Sur","BCS","008","Los Cabos","0001","San José del Cabo","351111","180944","170167","101981"
"03009","03","Baja California Sur","BCS","009","Loreto","0001","Loreto","18052","9257","8795","5635"
"04001","04","Campeche","Camp.","001","Calkiní","0001","Calkiní","59232","29170","30062","15289"
"04002","04","Campeche","Camp.","002","Campeche","0001","San Francisco de Campeche","294077","141555","152522","85353"
"04003","04","Campeche","Camp.","003","Carmen","0001","Ciudad del Carmen","248845","123043","125802","72119"
"04004","04","Campeche","Camp.","004","Champotón","0001","Champotón","78170","39030","39140","21474"
"04005","04","Campeche","Camp.","005","Hecelchakán","0001","Hecelchakán","31917","15713","16204","8292"
"04006","04","Campeche","Camp.","006","Hopelchén","0001","Hopelchén","42140","21328","20812","10243"
"04007","04","Campeche","Camp.","007","Palizada","0001","Palizada","8683","4423","4260","2546"
"04008","04","Campeche","Camp.","008","Tenabo","0001","Tenabo","11452","5797","5655","3066"
"04009","04","Campeche","Camp.","009","Escárcega","0001","Escárcega","59923","29468","30455","16837"
"04010","04","Campeche","Camp.","010","Calakmul","0001","Xpujil","31714","16101","15613","8037"
"04011","04","Campeche","Camp.","011","Candelaria","0001","Candelaria","46913","23674","23239","13294"
"04012","04","Campeche","Camp.","012","Seybaplaya","0001","Seybaplaya","15297","7637","7660","4274"
"04013","04","Campeche","Camp.","013","Dzitbalché","0001","Dzitbalché","-","-","-","-"
"05001","05","Coahuila de Zaragoza","Coah.","001","Abasolo","0001","Abasolo","1022","535","487","363"
"05002","05","Coahuila de Zaragoza","Coah.","002","Acuña","0001","Ciudad Acuña","163058","81943","81115","47246"
"05003","05","Coahuila de Zaragoza","Coah.","003","Allende","0001","Allende","23056","11446","11610","6852"
"05004","05","Coahuila de Zaragoza","Coah.","004","Arteaga","0001","Arteaga","29578","14955","14623","8639"
"05005","05","Coahuila de Zaragoza","Coah.","005","Candela","0001","Candela","1643","843","800","471"
